"x","y","cellNos","raw_2011_ascii","thppm","SAGA_wetness_index","MRRTF","Filled_DEM","drainage_2011","Altitude_Above_Channel_Network","survey","sampleNos"
"41",341434.8,6372465.5,0,25.582399,9.35197925567627,13.678526,0.317888,85.464249,4.999855,5.115761,1,37
"42",338184.8,6374040.5,0,26.092739,7.20034980773926,14.995886,1.903494,100.236397,3.512633,12.23748,1,7
"43",341559.8,6373190.5,0,25.22098,10.9183492660522,14.109136,0.657295,94.2845,4.997348,16.732849,1,35
"44",342484.8,6372040.5,0,25.433189,8.77032279968262,14.987799,0.460614,81.62825,4.999967,10.723244,1,40
"45",338734.8,6372215.5,0,26.34412,5.96554946899414,14.627283,0.51221,125.855003,4.813612,13.235519,1,19
"46",339259.8,6377290.5,0,25.777069,7.79388427734375,18.554193,1.585607,59.723,4.742731,4.145176,1,13
"47",339559.8,6374740.5,0,26.54151,7.98989152908325,17.732773,0.045931,76.659531,4.395836,2.637993,1,35
"48",341159.8,6375515.5,0,25.83802,10.747784614563,17.083998,0.2965,70.580437,3.879329,9.211998,1,33
"49",343184.8,6368815.5,0,26.32777,9.19075870513916,11.398293,0.087224,95.209503,4.804292,20.784508,1,22
"50",337409.8,6374340.5,0,26.14012,6.98597240447998,15.82533,0.098339,93.455917,4.81103,7.333282,1,37
"51",344684.8,6376565.5,0,25.95648,8.59932041168213,19.65991,3.644803,51.158501,3.855335,8.584946,1,14
"52",339834.8,6378765.5,0,28.47682,11.5766153335571,19.329353,0.065598,51.083248,3.554731,0.338291,1,5
"53",345784.8,6372990.5,0,28.16152,7.09756422042847,21.23267,0.011593,48.20425,3.033814,0.005241,1,8
"54",340359.8,6380415.5,0,25.952579,11.1578884124756,14.705714,0.085995,72.613747,4.434846,27.2579,1,27
"55",337509.8,6377215.5,0,26.356171,10.6625089645386,18.42668,0.399846,67.309937,3.853376,2.362343,1,24
"56",346359.8,6379615.5,0,28.85445,12.9964694976807,10.333543,0.206648,87.377502,2.079277,46.66066,1,1
"57",346409.8,6373990.5,0,25.63718,7.95758485794067,17.964361,3.934509,61.645691,2.251222,12.297424,1,8
